    NAME       POS   G  AB  HIT  2B 3B  HR  SLG RUN RBI  BB   SO  OBP  SB CS GDP HBP  E SF SAC AVG
brantley,michae OF  46 170   51  15  0   5 .476  24  22  17   28 .364   2  0   0  0   0  0  0 .300
tucker,kyle     OF  58 209   56  12  6   9 .512  33  42  18   46 .325   8  1   0  0   1  1  0 .268
correa,carlos   SS  58 201   53   9  0   5 .383  22  25  16   49 .323   0  0   0  2   1  1  0 .264
springer,george OF  51 189   49   6  2  14 .534  37  32  24   38 .352   1  2   0  4   0  2  0 .259
alvarez,yordan  DH   2   8    2   0  0   1 .625   2   4   0    1 .250   0  0   0  0   0  0  0 .250
reddick,josh    OF  56 188   46  11  1   4 .378  22  23  20   42 .316   1  0   0  0   2  1  0 .245
bregman,alex    3B  42 153   37  12  1   6 .451  19  22  24   26 .348   0  0   0  1   2  0  0 .242
diaz,aledmys    2B  17  58   14   5  0   3 .483   8   6   1   12 .254   0  0   0  0   0  0  0 .241
gurriel,yuli    1B  57 211   50  12  1   6 .389  27  22  12   27 .275   0  1   0  1   0  5  0 .237
altuve,jose     2B  48 192   43   9  0   5 .349  32  18  17   39 .287   2  3   0  0   4  0  0 .224
maldonado,marti  C  47 135   29   4  0   6 .378  19  24  27   51 .350   1  0   0  1   2  0  2 .215
straw,myles     OF  33  82   17   4  0   0 .256   8   8   4   22 .244   6  2   0  0   0  0  0 .207
mayfield,jack   2B  21  42    8   1  0   0 .214   5   3   2   14 .239   0  0   0  1   0  1  1 .190
jones,taylor    DH   7  21    4   1  0   1 .381   3   3   1    7 .227   0  0   0  0   0  0  0 .190
garneau,dustin   C  17  38    6   0  1   1 .289   4   4   6   15 .273   0  0   0  0   4  0  2 .158
toro,abraham    3B  33  87   13   2  0   3 .276  13   9   3   23 .229   1  1   0  6   0  0  0 .149
stubbs,garrett   C  14   8    1   0  0   0 .125   1   1   0    0 .111   0  1   0  0   0  1  1 .125
pitcher          P   1   1    0   0  0   0 .000   0   0   0    0 .000   0  0   0  0   3  0  0 .000
   TOTAL         -  - 1993  479 103 12  69 .408 279 268 192  440 .310  22 11   0 16  19 12  6 .240
